Country,Cases,Deaths,ReCovered,Death_Rate
Afghanistan,234174,7996,211080,3.414554989025255
Albania,334863,3605,330233,1.0765596676849936
Algeria,272010,6881,183061,2.5296864085879194
Andorra,48015,165,0,0.3436426116838488
Angola,107327,1937,103419,1.804764877430656
Anguilla,3904,12,0,0.3073770491803279
Antigua and Barbuda,9106,146,8954,1.6033384581594552
Argentina,10128845,130841,9997258,1.2917662379076786
Armenia,451831,8777,435162,1.9425404631377663
Aruba,44224,292,42438,0.66027496382055
Australia,11853144,24414,11820014,0.20597066904780706
Austria,6081287,22542,6054934,0.3706781146819744
Azerbaijan,835234,10400,824089,1.2451600389830875
Bahamas,38084,844,36366,2.2161537653607817
Bahrain,729549,1574,727915,0.2157497303128371
Bangladesh,2049377,29493,0,1.4391202789921036
Barbados,110578,648,108647,0.5860116840601204
Belarus,994037,7118,985592,0.7160699249625517
Belgium,4861695,34376,4826798,0.7070784983426562
Belize,71409,688,0,0.9634639891330226
Benin,28036,163,27847,0.5813953488372093
Bermuda,18860,165,18685,0.8748674443266171
Bhutan,62697,21,61564,0.03349442557060146
Bolivia,1212131,22407,1177145,1.8485625728572244
Bosnia,403615,16388,379084,4.060304993620158
Botswana,330638,2801,327049,0.8471500553475403
Brazil,38743918,711380,36249161,1.8361075408016299
British Virgin Islands,7392,64,0,0.8658008658008658
Brunei,343719,225,243601,0.06546044879683695
Bulgaria,1339851,38748,1292944,2.891963360104967
Burkina Faso,22114,400,21596,1.8088088993397848
Burundi,54721,38,53569,0.06944317538056688
Cabo Verde,64477,417,63755,0.6467422491741242
Cambodia,139103,3056,136044,2.196933207766907
Cameroon,125379,1974,123280,1.5744263393391238
Canada,4946090,59034,4881312,1.1935488436320407
Caribbean Netherlands,11682,38,10476,0.32528676596473205
Cayman Islands,31472,37,8553,0.1175648195221149
Central African Republic,15440,113,15200,0.7318652849740932
Chad,7701,194,4874,2.519153356706921
Channel Islands,101717,228,101321,0.22415132180461478
Chile,5384853,64497,5252450,1.1977485736379432
China,503302,5272,379053,1.0474824260583109
Colombia,6400173,143200,6212152,2.2374395192129963
Comoros,9109,161,8939,1.7674827094082777
Congo,25375,386,24006,1.5211822660098522
Cook Islands,7203,2,7150,0.027766208524226017
Costa Rica,1238883,9428,0,0.7610081016528599
Croatia,1309728,18687,1258432,1.4267847980649417
Cuba,1115251,8530,1106660,0.7648502444741139
Curaçao,45986,295,44720,0.6414995868307746
Cyprus,681110,1365,679745,0.20040815727268724
Czechia,4759041,43517,4715206,0.914406915174717
Côte d'Ivoire,88384,835,87497,0.9447411296162201
DRC,99338,1468,84489,1.4777829229499284
Denmark,3183756,8814,3174942,0.27684282338219385
Diamond Princess,712,13,699,1.8258426966292134
Djibouti,15690,189,15427,1.2045889101338432
Dominica,16038,74,15964,0.46140416510786886
Dominican Republic,675890,4384,671316,0.6486262557516755
Ecuador,1070188,36043,1034145,3.3679129274482613
Egypt,516023,24613,442182,4.769748635235251
El Salvador,201855,4230,179410,2.0955636471724755
Equatorial Guinea,17229,183,16907,1.062162632770329
Eritrea,10189,103,10086,1.0108941014819903
Estonia,628070,3001,0,0.4778129826293247
Ethiopia,501157,7574,488171,1.5113028452161696
Falkland Islands (Malvinas),1930,0,1930,0.0
Faroe Islands,34658,28,0,0.08078942812626233
Fiji,69117,885,67226,1.2804375189895394
Finland,1516117,11958,1503989,0.7887254083952624
France,40138560,167642,39970918,0.41765823188475126
French Guiana,98041,420,11254,0.42839220326190064
French Polynesia,79254,650,0,0.8201478789714084
Gabon,49051,307,48674,0.6258791869686653
Gambia,12626,372,12189,2.946301283066688
Georgia,1861665,17132,0,0.9202514953012492
Germany,38828995,183027,38240600,0.47136682265405017
Ghana,171889,1462,170425,0.8505489007440848
Gibraltar,20550,113,0,0.5498783454987834
Greece,6101379,37869,0,0.6206629681585097
Greenland,11971,21,2761,0.1754239411912121
Grenada,19693,238,19358,1.2085512618696999
Guadeloupe,203235,1021,0,0.5023740989494919
Guatemala,1291293,20289,1269891,1.571215827856265
Guinea,38572,468,37757,1.2133153582909884
Guinea-Bissau,9614,177,8929,1.841065113376326
Guyana,74137,1300,72013,1.7535103929212135
Haiti,34667,860,33734,2.4807453774482937
Holy See (Vatican City State),29,0,29,0.0
Honduras,474590,11165,0,2.3525569438884086
Hong Kong,2937609,14924,2916005,0.5080322125919413
Hungary,2230232,49048,2152155,2.1992330842710532
Iceland,209906,229,0,0.10909645269787428
India,45035393,533570,0,1.1847792690517878
Indonesia,6829221,162063,6647104,2.373081790734258
Iran,7627186,146811,0,1.9248383348721272
Iraq,2465545,25375,2439497,1.029184216876999
Ireland,1734582,9491,1724921,0.5471635241228145
Isle of Man,38008,116,0,0.3051989054935803
Israel,4841772,12707,4798473,0.262445236991746
Italy,26723249,196487,26361218,0.7352661347428225
Jamaica,156869,3756,0,2.394354525113311
